"Time","Source","Destination","Protocol","Length","Hw_src","HW_dst"
"1554116350.910772","192.168.1.149","41.243.103.252","TLSv1.2","311","b4:6d:83:77:8b:9d","41.243.103.252"
"1554116350.910851","192.168.1.149","41.243.103.252","TLSv1.2","1434","b4:6d:83:77:8b:9d","41.243.103.252"
"1554116350.911540","192.168.1.149","41.243.103.252","TCP","1434","b4:6d:83:77:8b:9d","41.243.103.252"
"1554116350.911551","192.168.1.149","41.243.103.252","TCP","1434","b4:6d:83:77:8b:9d","41.243.103.252"
"1554116350.913740","192.168.1.149","41.243.103.252","TLSv1.2","394","b4:6d:83:77:8b:9d","41.243.103.252"
"1554116350.916353","192.168.1.149","82.158.198.44","TLSv1.2","402","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116350.916426","192.168.1.149","82.158.198.44","TLSv1.2","1434","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116350.917378","192.168.1.149","82.158.198.44","TCP","1434","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116350.919497","192.168.1.149","82.158.198.44","TCP","1434","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116350.921684","192.168.1.149","82.158.198.44","TCP","1434","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116350.923773","192.168.1.149","82.158.198.44","TLSv1.2","206","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116350.938156","41.243.103.252","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116350.938169","41.243.103.252","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116350.942496","82.158.198.44","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116350.945078","82.158.198.44","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116350.945309","41.243.103.252","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116350.945407","82.158.198.44","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116350.948705","82.158.198.44","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116350.952348","82.158.198.44","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116350.952587","82.158.198.44","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116350.971553","41.243.103.252","192.168.1.149","TLSv1.2","304","c8:d7:19:37:a2:15","192.168.1.149"
"1554116350.971794","41.243.103.252","192.168.1.149","TLSv1.2","269","c8:d7:19:37:a2:15","192.168.1.149"
"1554116350.971871","192.168.1.149","41.243.103.252","TCP","66","b4:6d:83:77:8b:9d","41.243.103.252"
"1554116350.971914","41.243.103.252","192.168.1.149","TLSv1.2","321","c8:d7:19:37:a2:15","192.168.1.149"
"1554116350.971919","41.243.103.252","192.168.1.149","TLSv1.2","112","c8:d7:19:37:a2:15","192.168.1.149"
"1554116350.971969","192.168.1.149","41.243.103.252","TCP","66","b4:6d:83:77:8b:9d","41.243.103.252"
"1554116350.972007","192.168.1.149","41.243.103.252","TLSv1.2","112","b4:6d:83:77:8b:9d","41.243.103.252"
"1554116351.045262","41.243.103.252","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116351.114859","82.158.198.44","192.168.1.149","TLSv1.2","273","c8:d7:19:37:a2:15","192.168.1.149"
"1554116351.114886","192.168.1.149","82.158.198.44","TCP","66","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116351.118935","192.168.1.149","82.158.198.44","TLSv1.2","425","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116351.119032","192.168.1.149","82.158.198.44","TLSv1.2","1434","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116351.119545","192.168.1.149","82.158.198.44","TLSv1.2","501","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116351.123967","82.158.198.44","192.168.1.149","TLSv1.2","104","c8:d7:19:37:a2:15","192.168.1.149"
"1554116351.124128","82.158.198.44","192.168.1.149","TLSv1.2","112","c8:d7:19:37:a2:15","192.168.1.149"
"1554116351.124354","192.168.1.149","82.158.198.44","TCP","66","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116351.124400","192.168.1.149","82.158.198.44","TLSv1.2","112","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116351.145692","82.158.198.44","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116351.145707","82.158.198.44","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116351.145912","82.158.198.44","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116351.151567","82.158.198.44","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116351.365413","82.158.198.44","192.168.1.149","TLSv1.2","270","c8:d7:19:37:a2:15","192.168.1.149"
"1554116351.365655","82.158.198.44","192.168.1.149","TLSv1.2","283","c8:d7:19:37:a2:15","192.168.1.149"
"1554116351.365709","192.168.1.149","82.158.198.44","TCP","66","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116351.365891","82.158.198.44","192.168.1.149","TLSv1.2","383","c8:d7:19:37:a2:15","192.168.1.149"
"1554116351.366006","82.158.198.44","192.168.1.149","TLSv1.2","210","c8:d7:19:37:a2:15","192.168.1.149"
"1554116351.366169","192.168.1.149","82.158.198.44","TCP","66","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116351.392410","82.158.198.44","192.168.1.149","TLSv1.2","186","c8:d7:19:37:a2:15","192.168.1.149"
"1554116351.392739","192.168.1.149","82.158.198.44","TLSv1.2","112","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116351.422450","82.158.198.44","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116351.672688","82.158.198.44","192.168.1.149","TLSv1.2","446","c8:d7:19:37:a2:15","192.168.1.149"
"1554116351.715572","192.168.1.149","82.158.198.44","TCP","66","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116352.544578","192.168.1.149","82.158.198.44","TLSv1.2","424","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116352.545699","192.168.1.149","82.158.198.44","TLSv1.2","276","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116352.571217","82.158.198.44","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116352.571507","82.158.198.44","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116352.799651","82.158.198.44","192.168.1.149","TLSv1.2","270","c8:d7:19:37:a2:15","192.168.1.149"
"1554116352.799673","192.168.1.149","82.158.198.44","TCP","66","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116352.800170","82.158.198.44","192.168.1.149","TLSv1.2","281","c8:d7:19:37:a2:15","192.168.1.149"
"1554116352.800178","192.168.1.149","82.158.198.44","TCP","66","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116352.800188","82.158.198.44","192.168.1.149","TLSv1.2","219","c8:d7:19:37:a2:15","192.168.1.149"
"1554116352.800194","192.168.1.149","82.158.198.44","TCP","66","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116352.800200","82.158.198.44","192.168.1.149","TLSv1.2","272","c8:d7:19:37:a2:15","192.168.1.149"
"1554116352.800205","192.168.1.149","82.158.198.44","TCP","66","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116352.800211","82.158.198.44","192.168.1.149","TLSv1.2","281","c8:d7:19:37:a2:15","192.168.1.149"
"1554116352.800215","192.168.1.149","82.158.198.44","TCP","66","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116352.800220","82.158.198.44","192.168.1.149","TLSv1.2","112","c8:d7:19:37:a2:15","192.168.1.149"
"1554116352.800224","192.168.1.149","82.158.198.44","TCP","66","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116352.800383","192.168.1.149","82.158.198.44","TLSv1.2","112","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116352.827439","82.158.198.44","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116352.996356","192.168.1.149","82.158.198.44","TLSv1.2","425","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116352.996546","192.168.1.149","82.158.198.44","TLSv1.2","1434","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116352.997186","192.168.1.149","82.158.198.44","TLSv1.2","98","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116353.014920","82.158.198.44","192.168.1.149","TLSv1.2","446","c8:d7:19:37:a2:15","192.168.1.149"
"1554116353.022929","82.158.198.44","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116353.023848","82.158.198.44","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116353.025476","82.158.198.44","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116353.055545","192.168.1.149","82.158.198.44","TCP","66","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116353.210438","82.158.198.44","192.168.1.149","TLSv1.2","270","c8:d7:19:37:a2:15","192.168.1.149"
"1554116353.210488","192.168.1.149","82.158.198.44","TCP","66","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116353.212832","82.158.198.44","192.168.1.149","TLSv1.2","281","c8:d7:19:37:a2:15","192.168.1.149"
"1554116353.212865","192.168.1.149","82.158.198.44","TCP","66","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116353.213098","82.158.198.44","192.168.1.149","TLSv1.2","289","c8:d7:19:37:a2:15","192.168.1.149"
"1554116353.213120","192.168.1.149","82.158.198.44","TCP","66","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116353.216874","82.158.198.44","192.168.1.149","TLSv1.2","316","c8:d7:19:37:a2:15","192.168.1.149"
"1554116353.216903","192.168.1.149","82.158.198.44","TCP","66","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116353.216960","82.158.198.44","192.168.1.149","TLSv1.2","134","c8:d7:19:37:a2:15","192.168.1.149"
"1554116353.216974","192.168.1.149","82.158.198.44","TCP","66","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116353.217257","82.158.198.44","192.168.1.149","TLSv1.2","112","c8:d7:19:37:a2:15","192.168.1.149"
"1554116353.217319","192.168.1.149","82.158.198.44","TCP","66","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116353.217415","192.168.1.149","82.158.198.44","TLSv1.2","112","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116353.243051","82.158.198.44","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116353.515753","82.158.198.44","192.168.1.149","TLSv1.2","446","c8:d7:19:37:a2:15","192.168.1.149"
"1554116353.559584","192.168.1.149","82.158.198.44","TCP","66","b4:6d:83:77:8b:9d","82.158.198.44"
"1554116356.916227","192.168.1.149","41.243.103.252","TLSv1.2","317","b4:6d:83:77:8b:9d","41.243.103.252"
"1554116356.917023","192.168.1.149","41.243.103.252","TLSv1.2","548","b4:6d:83:77:8b:9d","41.243.103.252"
"1554116356.945214","41.243.103.252","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116356.945451","41.243.103.252","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116356.983663","41.243.103.252","192.168.1.149","TLSv1.2","304","c8:d7:19:37:a2:15","192.168.1.149"
"1554116356.983914","41.243.103.252","192.168.1.149","TLSv1.2","405","c8:d7:19:37:a2:15","192.168.1.149"
"1554116356.983966","192.168.1.149","41.243.103.252","TCP","66","b4:6d:83:77:8b:9d","41.243.103.252"
"1554116356.984017","41.243.103.252","192.168.1.149","TLSv1.2","112","c8:d7:19:37:a2:15","192.168.1.149"
"1554116356.984062","192.168.1.149","41.243.103.252","TLSv1.2","112","b4:6d:83:77:8b:9d","41.243.103.252"
"1554116357.013684","41.243.103.252","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554116359.269033","192.168.1.149","41.243.103.252","TLSv1.2","542","b4:6d:83:77:8b:9d","41.243.103.252"
"1554116359.269101","192.168.1.149","41.243.103.252","TLSv1.2","1434","b4:6d:83:77:8b:9d","41.243.103.252"
"1554116359.269717","192.168.1.149","41.243.103.252","TCP","1434","b4:6d:83:77:8b:9d","41.243.103.252"
"1554116359.270196","192.168.1.149","41.243.103.252","TCP","1434","b4:6d:83:77:8b:9d","41.243.103.252"
"1554116359.270720","192.168.1.149","41.243.103.252","TLSv1.2","394","b4:6d:83:77:8b:9d","41.243.103.252"
"1554116359.272458","192.168.1.149","82.158.198.44","TLSv1.2","398","b4:6d:83:77:8b:9d","82.158.198.44"
