"Time","Source","Destination","Protocol","Length","Hw_src","HW_dst"
"1551433401.260668","192.168.1.149","172.217.17.14","TLSv1.2","202","b4:6d:83:77:8b:9d","172.217.17.14"
"1551433401.261379","192.168.1.149","172.217.17.14","TLSv1.2","770","b4:6d:83:77:8b:9d","172.217.17.14"
"1551433401.262647","192.168.1.149","172.217.17.14","TLSv1.2","1189","b4:6d:83:77:8b:9d","172.217.17.14"
"1551433401.265070","192.168.1.149","130.206.193.111","TCP","66","b4:6d:83:77:8b:9d","130.206.193.111"
"1551433401.265119","192.168.1.149","130.206.193.111","TCP","66","b4:6d:83:77:8b:9d","130.206.193.111"
"1551433401.265138","192.168.1.149","74.125.168.41","TCP","66","b4:6d:83:77:8b:9d","74.125.168.41"
"1551433401.265154","192.168.1.149","74.125.168.41","TCP","66","b4:6d:83:77:8b:9d","74.125.168.41"
"1551433401.265203","192.168.1.149","216.58.210.138","TCP","74","b4:6d:83:77:8b:9d","216.58.210.138"
"1551433401.265393","192.168.1.149","172.217.17.14","TLSv1.2","149","b4:6d:83:77:8b:9d","172.217.17.14"
"1551433401.265507","192.168.1.149","172.217.16.238","TCP","74","b4:6d:83:77:8b:9d","172.217.16.238"
"1551433401.265748","192.168.1.149","192.168.1.1","DNS","73","b4:6d:83:77:8b:9d","192.168.1.1"
"1551433401.266229","192.168.1.149","172.217.168.163","TCP","74","b4:6d:83:77:8b:9d","172.217.168.163"
"1551433401.268920","192.168.1.1","192.168.1.149","DNS","347","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.276579","172.217.17.14","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.277966","172.217.17.14","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.278251","172.217.17.14","192.168.1.149","TLSv1.2","112","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.283366","172.217.17.14","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.283406","130.206.193.111","192.168.1.149","TCP","54","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.283647","130.206.193.111","192.168.1.149","TCP","54","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.283993","172.217.168.163","192.168.1.149","TCP","74","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.284023","192.168.1.149","172.217.168.163","TCP","66","b4:6d:83:77:8b:9d","172.217.168.163"
"1551433401.284271","192.168.1.149","172.217.168.163","TLSv1.2","271","b4:6d:83:77:8b:9d","172.217.168.163"
"1551433401.287425","172.217.16.238","192.168.1.149","TCP","74","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.287471","192.168.1.149","172.217.16.238","TCP","66","b4:6d:83:77:8b:9d","172.217.16.238"
"1551433401.287706","192.168.1.149","172.217.16.238","TLSv1.2","265","b4:6d:83:77:8b:9d","172.217.16.238"
"1551433401.288856","74.125.168.41","192.168.1.149","TCP","54","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.289112","74.125.168.41","192.168.1.149","TCP","54","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.289217","216.58.210.138","192.168.1.149","TCP","74","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.289245","192.168.1.149","216.58.210.138","TCP","66","b4:6d:83:77:8b:9d","216.58.210.138"
"1551433401.289356","192.168.1.149","216.58.210.138","TLSv1.2","274","b4:6d:83:77:8b:9d","216.58.210.138"
"1551433401.302390","172.217.168.163","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.306657","172.217.17.14","192.168.1.149","TLSv1.2","145","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.306717","192.168.1.149","172.217.17.14","TCP","66","b4:6d:83:77:8b:9d","172.217.17.14"
"1551433401.306897","172.217.17.14","192.168.1.149","TLSv1.2","268","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.307032","172.217.17.14","192.168.1.149","TLSv1.2","141","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.307036","172.217.17.14","192.168.1.149","TLSv1.2","112","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.307038","172.217.17.14","192.168.1.149","TLSv1.2","143","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.307040","172.217.17.14","192.168.1.149","TLSv1.2","104","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.307126","192.168.1.149","172.217.17.14","TCP","66","b4:6d:83:77:8b:9d","172.217.17.14"
"1551433401.307940","192.168.1.149","172.217.17.14","TLSv1.2","112","b4:6d:83:77:8b:9d","172.217.17.14"
"1551433401.309801","172.217.16.238","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.309822","216.58.210.138","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.326813","172.217.168.163","192.168.1.149","TLSv1.2","1484","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.326843","192.168.1.149","172.217.168.163","TCP","66","b4:6d:83:77:8b:9d","172.217.168.163"
"1551433401.326861","172.217.168.163","192.168.1.149","TCP","1484","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.326867","192.168.1.149","172.217.168.163","TCP","66","b4:6d:83:77:8b:9d","172.217.168.163"
"1551433401.327816","172.217.168.163","192.168.1.149","TLSv1.2","844","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.327904","192.168.1.149","172.217.168.163","TCP","66","b4:6d:83:77:8b:9d","172.217.168.163"
"1551433401.328827","192.168.1.149","172.217.168.163","TLSv1.2","324","b4:6d:83:77:8b:9d","172.217.168.163"
"1551433401.331141","216.58.210.138","192.168.1.149","TLSv1.2","1484","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.331176","192.168.1.149","216.58.210.138","TCP","66","b4:6d:83:77:8b:9d","216.58.210.138"
"1551433401.331418","216.58.210.138","192.168.1.149","TCP","1484","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.331422","192.168.1.149","216.58.210.138","TCP","66","b4:6d:83:77:8b:9d","216.58.210.138"
"1551433401.336672","216.58.210.138","192.168.1.149","TLSv1.2","1067","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.336678","192.168.1.149","216.58.210.138","TCP","66","b4:6d:83:77:8b:9d","216.58.210.138"
"1551433401.337053","172.217.16.238","192.168.1.149","TLSv1.2","1484","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.337061","192.168.1.149","172.217.16.238","TCP","66","b4:6d:83:77:8b:9d","172.217.16.238"
"1551433401.337065","172.217.16.238","192.168.1.149","TCP","1484","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.337068","192.168.1.149","172.217.16.238","TCP","66","b4:6d:83:77:8b:9d","172.217.16.238"
"1551433401.337169","172.217.16.238","192.168.1.149","TLSv1.2","843","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.337174","192.168.1.149","172.217.16.238","TCP","66","b4:6d:83:77:8b:9d","172.217.16.238"
"1551433401.337287","192.168.1.149","216.58.210.138","TLSv1.2","324","b4:6d:83:77:8b:9d","216.58.210.138"
"1551433401.337872","172.217.17.14","192.168.1.149","TLSv1.2","145","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.338313","172.217.17.14","192.168.1.149","TLSv1.2","104","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.338317","172.217.17.14","192.168.1.149","TLSv1.2","112","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.338363","192.168.1.149","172.217.16.238","TLSv1.2","324","b4:6d:83:77:8b:9d","172.217.16.238"
"1551433401.338784","192.168.1.149","172.217.17.14","TCP","66","b4:6d:83:77:8b:9d","172.217.17.14"
"1551433401.339335","192.168.1.149","172.217.17.14","TLSv1.2","112","b4:6d:83:77:8b:9d","172.217.17.14"
"1551433401.345517","172.217.168.163","192.168.1.149","TLSv1.2","387","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.345609","172.217.168.163","192.168.1.149","TLSv1.2","135","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.355436","216.58.210.138","192.168.1.149","TLSv1.2","387","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.355537","216.58.210.138","192.168.1.149","TLSv1.2","135","c8:d7:19:37:a2:15","192.168.1.149"
"1551433401.355806","172.217.16.238","192.168.1.149","TLSv1.2","387","c8:d7:19:37:a2:15","192.168.1.149"
