"Time","Source","Destination","Protocol","Length","Hw_src","HW_dst"
"1554136074.973502","192.168.1.80","72.150.88.126","TLSv1.2","1295","b4:6d:83:77:8b:9d","72.150.88.126"
"1554136074.988646","72.150.88.126","192.168.1.80","TLSv1.2","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988671","192.168.1.80","72.150.88.126","TCP","66","b4:6d:83:77:8b:9d","72.150.88.126"
"1554136074.988686","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988691","192.168.1.80","72.150.88.126","TCP","66","b4:6d:83:77:8b:9d","72.150.88.126"
"1554136074.988697","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988700","192.168.1.80","72.150.88.126","TCP","66","b4:6d:83:77:8b:9d","72.150.88.126"
"1554136074.988704","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988707","192.168.1.80","72.150.88.126","TCP","66","b4:6d:83:77:8b:9d","72.150.88.126"
"1554136074.988711","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988714","192.168.1.80","72.150.88.126","TCP","66","b4:6d:83:77:8b:9d","72.150.88.126"
"1554136074.988718","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988721","192.168.1.80","72.150.88.126","TCP","66","b4:6d:83:77:8b:9d","72.150.88.126"
"1554136074.988727","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988730","192.168.1.80","72.150.88.126","TCP","66","b4:6d:83:77:8b:9d","72.150.88.126"
"1554136074.988734","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988737","192.168.1.80","72.150.88.126","TCP","66","b4:6d:83:77:8b:9d","72.150.88.126"
"1554136074.988741","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988744","192.168.1.80","72.150.88.126","TCP","66","b4:6d:83:77:8b:9d","72.150.88.126"
"1554136074.988749","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988752","192.168.1.80","72.150.88.126","TCP","66","b4:6d:83:77:8b:9d","72.150.88.126"
"1554136074.988755","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988758","192.168.1.80","72.150.88.126","TCP","66","b4:6d:83:77:8b:9d","72.150.88.126"
"1554136074.988763","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988766","192.168.1.80","72.150.88.126","TCP","66","b4:6d:83:77:8b:9d","72.150.88.126"
"1554136074.988769","72.150.88.126","192.168.1.80","TLSv1.2","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988773","192.168.1.80","72.150.88.126","TCP","66","b4:6d:83:77:8b:9d","72.150.88.126"
"1554136074.988783","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988789","192.168.1.80","72.150.88.126","TCP","66","b4:6d:83:77:8b:9d","72.150.88.126"
"1554136074.988795","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988800","192.168.1.80","72.150.88.126","TCP","66","b4:6d:83:77:8b:9d","72.150.88.126"
"1554136074.988807","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988810","192.168.1.80","72.150.88.126","TCP","66","b4:6d:83:77:8b:9d","72.150.88.126"
"1554136074.988814","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988817","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988820","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988823","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988826","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988829","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988832","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988836","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988840","72.150.88.126","192.168.1.80","TLSv1.2","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988844","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988849","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988853","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988856","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988863","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988868","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988874","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.988882","192.168.1.80","72.150.88.126","TCP","66","b4:6d:83:77:8b:9d","72.150.88.126"
"1554136074.993881","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.993911","192.168.1.80","72.150.88.126","TCP","66","b4:6d:83:77:8b:9d","72.150.88.126"
"1554136074.993929","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.993936","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.993940","72.150.88.126","192.168.1.80","TLSv1.2","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.993945","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.993949","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.993953","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.993958","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.993961","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.993966","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.993970","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.993980","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
"1554136074.993987","72.150.88.126","192.168.1.80","TCP","1462","d8:fb:5e:2a:2f:cc","192.168.1.80"
