"Time","Source","Destination","Protocol","Length","Hw_src","HW_dst"
"1551364349.201924","192.168.1.149","239.255.255.250","SSDP","214","b4:6d:83:77:8b:9d","239.255.255.250"
"1551364349.332779","192.168.1.149","192.168.1.1","DNS","89","b4:6d:83:77:8b:9d","192.168.1.1"
"1551364349.337305","192.168.1.1","192.168.1.149","DNS","360","c8:d7:19:37:a2:15","192.168.1.149"
"1551364349.341147","192.168.1.149","172.217.168.163","TCP","74","b4:6d:83:77:8b:9d","172.217.168.163"
"1551364349.360520","172.217.168.163","192.168.1.149","TCP","74","c8:d7:19:37:a2:15","192.168.1.149"
"1551364349.360553","192.168.1.149","172.217.168.163","TCP","66","b4:6d:83:77:8b:9d","172.217.168.163"
"1551364349.360964","192.168.1.149","172.217.168.163","TLSv1.2","279","b4:6d:83:77:8b:9d","172.217.168.163"
"1551364349.380714","172.217.168.163","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1551364349.402039","172.217.168.163","192.168.1.149","TLSv1.2","1484","c8:d7:19:37:a2:15","192.168.1.149"
"1551364349.402071","192.168.1.149","172.217.168.163","TCP","66","b4:6d:83:77:8b:9d","172.217.168.163"
"1551364349.402091","172.217.168.163","192.168.1.149","TCP","1484","c8:d7:19:37:a2:15","192.168.1.149"
"1551364349.402099","192.168.1.149","172.217.168.163","TCP","66","b4:6d:83:77:8b:9d","172.217.168.163"
"1551364349.403523","172.217.168.163","192.168.1.149","TLSv1.2","1063","c8:d7:19:37:a2:15","192.168.1.149"
"1551364349.403541","192.168.1.149","172.217.168.163","TCP","66","b4:6d:83:77:8b:9d","172.217.168.163"
"1551364349.404278","192.168.1.149","172.217.168.163","TLSv1.2","159","b4:6d:83:77:8b:9d","172.217.168.163"
"1551364349.421866","172.217.168.163","192.168.1.149","TLSv1.2","350","c8:d7:19:37:a2:15","192.168.1.149"
"1551364349.422150","172.217.168.163","192.168.1.149","TLSv1.2","135","c8:d7:19:37:a2:15","192.168.1.149"
"1551364349.431352","192.168.1.149","172.217.168.163","TLSv1.2","159","b4:6d:83:77:8b:9d","172.217.168.163"
"1551364349.431824","192.168.1.149","172.217.168.163","TLSv1.2","366","b4:6d:83:77:8b:9d","172.217.168.163"
"1551364349.448412","172.217.168.163","192.168.1.149","TLSv1.2","104","c8:d7:19:37:a2:15","192.168.1.149"
"1551364349.458627","192.168.1.149","216.58.211.36","TCP","74","b4:6d:83:77:8b:9d","216.58.211.36"
"1551364349.476734","216.58.211.36","192.168.1.149","TCP","74","c8:d7:19:37:a2:15","192.168.1.149"
"1551364349.476780","192.168.1.149","216.58.211.36","TCP","66","b4:6d:83:77:8b:9d","216.58.211.36"
"1551364349.481262","192.168.1.149","216.58.211.36","TLSv1.2","268","b4:6d:83:77:8b:9d","216.58.211.36"
"1551364349.486228","172.217.168.163","192.168.1.149","TLSv1.2","247","c8:d7:19:37:a2:15","192.168.1.149"
"1551364349.486259","192.168.1.149","172.217.168.163","TCP","66","b4:6d:83:77:8b:9d","172.217.168.163"
"1551364349.486494","172.217.168.163","192.168.1.149","TLSv1.2","104","c8:d7:19:37:a2:15","192.168.1.149"
"1551364349.486601","172.217.168.163","192.168.1.149","TLSv1.2","112","c8:d7:19:37:a2:15","192.168.1.149"
"1551364349.486765","192.168.1.149","172.217.168.163","TCP","66","b4:6d:83:77:8b:9d","172.217.168.163"
"1551364349.487281","192.168.1.149","172.217.168.163","TLSv1.2","112","b4:6d:83:77:8b:9d","172.217.168.163"
"1551364349.499054","216.58.211.36","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1551364349.523749","216.58.211.36","192.168.1.149","TLSv1.2","1484","c8:d7:19:37:a2:15","192.168.1.149"
"1551364349.523819","192.168.1.149","216.58.211.36","TCP","66","b4:6d:83:77:8b:9d","216.58.211.36"
"1551364349.523985","216.58.211.36","192.168.1.149","TLSv1.2","1214","c8:d7:19:37:a2:15","192.168.1.149"
"1551364349.523999","192.168.1.149","216.58.211.36","TCP","66","b4:6d:83:77:8b:9d","216.58.211.36"
"1551364349.542615","172.217.168.163","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1551364349.940047","192.168.1.149","192.168.1.1","DNS","79","b4:6d:83:77:8b:9d","192.168.1.1"
