"Time","Source","Destination","Protocol","Length","Hw_src","HW_dst"
"1554879756.476570","37.252.172.180","192.168.1.149","TLSv1.2","97","c8:d7:19:37:a2:15","192.168.1.149"
"1554879756.476865","37.252.172.180","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554879756.518993","192.168.1.149","37.252.172.180","TCP","66","b4:6d:83:77:8b:9d","37.252.172.180"
"1554879756.566995","192.168.1.149","216.58.210.161","TCP","66","b4:6d:83:77:8b:9d","216.58.210.161"
"1554879756.567017","192.168.1.149","92.123.33.240","TCP","66","b4:6d:83:77:8b:9d","92.123.33.240"
"1554879756.567023","192.168.1.149","92.123.33.240","TCP","66","b4:6d:83:77:8b:9d","92.123.33.240"
"1554879756.567028","192.168.1.149","92.123.33.240","TCP","66","b4:6d:83:77:8b:9d","92.123.33.240"
"1554879756.583775","92.123.33.240","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554879756.583991","92.123.33.240","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554879756.587422","216.58.210.161","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554879756.589026","92.123.33.240","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554879756.783737","178.250.2.152","192.168.1.149","TCP","54","c8:d7:19:37:a2:15","192.168.1.149"
"1554879757.238115","192.168.1.149","216.58.201.142","TLSv1.2","876","b4:6d:83:77:8b:9d","216.58.201.142"
"1554879757.238711","192.168.1.149","216.58.201.142","TLSv1.2","112","b4:6d:83:77:8b:9d","216.58.201.142"
"1554879757.239007","192.168.1.149","188.40.115.112","TCP","66","b4:6d:83:77:8b:9d","188.40.115.112"
"1554879757.239043","192.168.1.149","188.40.115.112","TCP","66","b4:6d:83:77:8b:9d","188.40.115.112"
"1554879757.239192","192.168.1.149","37.252.172.42","TCP","66","b4:6d:83:77:8b:9d","37.252.172.42"
"1554879757.239226","192.168.1.149","37.252.172.40","TCP","66","b4:6d:83:77:8b:9d","37.252.172.40"
"1554879757.239266","192.168.1.149","23.43.114.92","TCP","66","b4:6d:83:77:8b:9d","23.43.114.92"
"1554879757.239294","192.168.1.149","37.252.172.180","TCP","66","b4:6d:83:77:8b:9d","37.252.172.180"
"1554879757.239356","192.168.1.149","35.158.225.158","TCP","66","b4:6d:83:77:8b:9d","35.158.225.158"
"1554879757.239399","192.168.1.149","37.252.172.40","TCP","66","b4:6d:83:77:8b:9d","37.252.172.40"
"1554879757.239458","192.168.1.149","18.153.11.7","TCP","66","b4:6d:83:77:8b:9d","18.153.11.7"
"1554879757.239480","192.168.1.149","18.153.11.7","TCP","66","b4:6d:83:77:8b:9d","18.153.11.7"
"1554879757.239564","192.168.1.149","37.252.172.42","TCP","74","b4:6d:83:77:8b:9d","37.252.172.42"
"1554879757.240298","192.168.1.149","37.252.172.42","TCP","74","b4:6d:83:77:8b:9d","37.252.172.42"
"1554879757.240942","192.168.1.149","37.252.172.42","TCP","74","b4:6d:83:77:8b:9d","37.252.172.42"
"1554879757.251508","216.58.201.142","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554879757.251592","216.58.201.142","192.168.1.149","TCP","66","c8:d7:19:37:a2:15","192.168.1.149"
"1554879757.251699","216.58.201.142","192.168.1.149","TLSv1.2","168","c8:d7:19:37:a2:15","192.168.1.149"
"1554879757.251797","216.58.201.142","192.168.1.149","TLSv1.2","139","c8:d7:19:37:a2:15","192.168.1.149"
"1554879757.251808","216.58.201.142","192.168.1.149","TLSv1.2","112","c8:d7:19:37:a2:15","192.168.1.149"
"1554879757.252365","192.168.1.149","216.58.201.142","TCP","66","b4:6d:83:77:8b:9d","216.58.201.142"
"1554879757.253984","192.168.1.149","216.58.201.142","TLSv1.2","112","b4:6d:83:77:8b:9d","216.58.201.142"
"1554879757.254055","192.168.1.149","92.123.34.205","TCP","1514","b4:6d:83:77:8b:9d","92.123.34.205"
"1554879757.254060","192.168.1.149","92.123.34.205","TCP","1514","b4:6d:83:77:8b:9d","92.123.34.205"
